Race,,Dist,500m,Time,01:33.3
Split,Time,Secs,Vel,SR,
25,6.24,6.24,4,130.22,
50,10.29,4.05,6.17,148.76,
75,14.26,3.97,6.3,144.39,
100,18.33,4.06,6.15,141.18,
125,22.42,4.1,6.1,140.26,
150,26.62,4.2,5.96,135.98,
175,30.89,4.27,5.85,133.33,
200,35.28,4.38,5.7,129.03,
225,39.73,4.45,5.61,127.36,
250,44.24,4.51,5.54,124.68,
275,48.82,4.58,5.46,122.17,
300,53.47,4.66,5.37,120.91,
325,58.22,4.74,5.27,119.11,
350,01:03.0,4.78,5.23,116.88,
375,01:07.8,4.82,5.18,116.5,
400,01:12.7,4.88,5.12,114.83,
425,01:17.6,4.94,5.06,112.97,
450,01:22.6,4.99,5.01,113.74,
475,01:27.6,5.01,4.99,112.27,
500,01:33.2,5.61,4.46,104.05,
Av,,4.66,5.43,125.43,
