Race,,Dist,500m,Time,01:29.7
Split,Time,Secs,Vel,SR,
25,6.11,6.11,4.09,132.88,
50,10.05,3.93,6.36,152.11,
75,13.89,3.85,6.5,149.17,
100,17.77,3.88,6.45,148.15,
125,21.71,3.94,6.34,145.16,
150,25.75,4.04,6.2,142.43,
175,29.85,4.1,6.1,138.11,
200,33.99,4.14,6.03,137.54,
225,38.23,4.24,5.9,135.34,
250,42.59,4.35,5.74,130.43,
275,47.03,4.44,5.63,126.76,
300,51.49,4.46,5.61,128,
325,56.02,4.53,5.51,127.36,
350,01:00.6,4.58,5.46,126.76,
375,01:05.2,4.55,5.49,126.32,
400,01:09.7,4.57,5.47,127.96,
425,01:14.4,4.63,5.4,125.87,
450,01:19.1,4.73,5.29,121.83,
475,01:24.1,4.98,5.02,108.6,
500,01:29.7,5.62,4.45,90.91,
Av,,4.48,5.65,131.08,
