Race,,Dist,500,Time,01:21.6
Split,Time,Secs,Vel,SR,
25,6.18,6.18,4.05,131.53,
50,9.89,3.72,6.73,157.89,
75,13.46,3.57,7,156.52,
100,17.03,3.56,7.01,153.35,
125,20.62,3.59,6.96,149.53,
150,24.31,3.69,6.78,144.58,
175,28.08,3.77,6.64,140.76,
200,31.89,3.81,6.56,140.94,
225,35.77,3.88,6.44,138.73,
250,39.7,3.93,6.36,137.93,
275,43.67,3.97,6.3,137.76,
300,47.72,4.05,6.17,135.98,
325,51.78,4.05,6.17,137.54,
350,55.81,4.04,6.19,136.75,
375,59.96,4.14,6.03,134.66,
400,01:04.2,4.22,5.92,133.7,
425,01:08.5,4.31,5.8,134,
450,01:12.8,4.33,5.78,132.6,
475,01:17.2,4.34,5.75,130.12,
500,01:21.6,4.42,5.67,128.34,
Av,,4.08,6.21,139.66,
