Race,,Dist,500,Time,01:20.9
Split,Time,Secs,Vel,SR,
25,5.95,5.95,4.2,136.84,
50,9.53,3.59,6.97,158.94,
75,12.96,3.43,7.3,157.89,
100,16.41,3.45,7.25,151.62,
125,19.94,3.52,7.09,148.15,
150,23.57,3.63,6.88,143.71,
175,27.23,3.66,6.83,142.86,
200,30.97,3.73,6.7,142.86,
225,34.74,3.77,6.63,142.43,
250,38.58,3.84,6.5,141.18,
275,42.5,3.92,6.38,140.35,
300,46.45,3.95,6.33,139.9,
325,50.46,4.02,6.23,139.53,
350,54.55,4.09,6.11,137.93,
375,58.7,4.15,6.03,136.71,
400,01:02.9,4.22,5.92,134.83,
425,01:07.2,4.32,5.78,134.33,
450,01:11.7,4.45,5.62,127.66,
475,01:16.2,4.52,5.53,126.46,
500,01:20.9,4.68,5.35,123.08,
Av,,4.04,6.28,140.36,
