Race,,Dist,500,Time,01:21.0
Split,Time,Secs,Vel,SR,
25,6.2,6.2,4.03,133.11,
50,9.94,3.74,6.68,152.54,
75,13.28,3.34,7.48,144.33,
100,16.92,3.63,6.88,143.84,
125,20.61,3.69,6.77,139.94,
150,24.4,3.79,6.6,136.36,
175,28.27,3.87,6.46,135.48,
200,32.18,3.91,6.39,134.83,
225,36.15,3.96,6.31,132.6,
250,39.93,3.78,6.61,123.89,
275,43.99,4.06,6.15,131.87,
300,48.15,4.16,6.01,129.03,
325,52.26,4.11,6.09,130.43,
350,56.38,4.12,6.06,131.51,
375,01:00.5,4.14,6.04,131.51,
400,01:04.7,4.15,6.02,131.51,
425,01:08.5,3.83,6.53,124.26,
450,01:12.6,4.12,6.07,131.51,
475,01:16.8,4.18,5.98,131.15,
500,01:21.0,4.19,5.97,128.34,
Av,,4.05,6.26,133.9,
