Race,,Dist,1000,Time,03:29.8
Split,Time,Secs,Vel,SR,
25,6.27,6.27,3.99,139.78,
50,10.72,4.45,5.62,133.33,
75,15.3,4.58,5.46,124.68,
100,20,4.71,5.31,121.62,
125,24.77,4.77,5.25,120.6,
150,29.66,4.89,5.11,117.39,
175,34.59,4.93,5.07,117.07,
200,39.55,4.96,5.04,114.65,
225,44.6,5.05,4.95,115.14,
250,49.69,5.09,4.91,114.01,
275,54.81,5.12,4.89,113.45,
300,59.94,5.14,4.87,112.97,
325,01:05.1,5.14,4.87,111.63,
350,01:10.3,5.2,4.81,110.88,
375,01:15.5,5.22,4.79,110.85,
400,01:20.7,5.23,4.78,110.2,
425,01:26.1,5.32,4.7,109.76,
450,01:31.3,5.28,4.74,111.37,
475,01:36.6,5.28,4.74,109.53,
500,01:41.9,5.32,4.7,109.31,
525,01:47.3,5.36,4.66,108.87,
550,01:52.6,5.35,4.67,109.34,
575,01:58.0,5.35,4.67,109.09,
600,02:03.4,5.43,4.61,108.43,
625,02:08.9,5.44,4.59,108.22,
650,02:14.3,5.48,4.56,109.31,
675,02:19.7,5.33,4.69,109.34,
700,02:25.0,5.35,4.67,109.76,
725,02:30.4,5.38,4.65,110.2,
750,02:35.8,5.37,4.66,110.66,
775,02:41.1,5.34,4.68,110.88,
800,02:46.4,5.29,4.72,112.27,
825,02:51.7,5.28,4.73,112.27,
850,02:57.1,5.42,4.62,112.27,
875,03:02.5,5.38,4.65,110.88,
900,03:07.8,5.35,4.67,111.57,
925,03:13.2,5.38,4.64,112.5,
950,03:18.7,5.46,4.58,109.76,
975,03:24.2,5.51,4.54,106.72,
1000,03:29.8,5.62,4.45,101.69,
Av,,5.24,4.78,113.06,
