Race,,Dist,500m,Time,01:33.9
Split,Time,Secs,Vel,SR,
25,6.17,6.17,4.05,133,
50,10.28,4.10,6.09,146,
75,14.30,4.03,6.21,144,
100,18.37,4.07,6.14,141,
125,22.56,4.18,5.97,138,
150,26.84,4.28,5.84,136,
175,31.14,4.29,5.82,134,
200,35.51,4.38,5.71,133,
225,39.95,4.44,5.63,131,
250,44.52,4.57,5.47,130,
275,49.14,4.62,5.41,128,
300,53.79,4.65,5.38,126,
325,58.50,4.71,5.31,123,
350,01:03.3,4.85,5.16,121,
375,01:08.3,4.92,5.09,119,
400,01:13.2,4.98,5.02,117,
425,01:18.3,5.00,5,114,
450,01:23.3,5.07,4.93,111,
475,01:28.5,5.15,4.85,111,
500,01:33.8,5.37,4.66,100,
Av,,4.69,5.39,127,
