Race,,Dist,500m,Time,01:34.1
Split,Time,Secs,Vel,SR,
25,6.42,6.42,3.9,142,
50,10.42,4.00,6.25,160,
75,14.32,3.90,6.4,155,
100,18.27,3.95,6.33,150,
125,22.35,4.08,6.13,147,
150,26.53,4.18,5.98,144,
175,30.81,4.27,5.85,141,
200,35.15,4.35,5.75,138,
225,39.58,4.43,5.65,138,
250,44.04,4.46,5.6,137,
275,48.52,4.48,5.58,138,
300,53.01,4.48,5.58,138,
325,57.63,4.63,5.4,135,
350,01:02.4,4.72,5.3,134,
375,01:07.2,4.85,5.16,132,
400,01:12.2,5.00,5,130,
425,01:17.4,5.19,4.82,123,
450,01:22.8,5.38,4.64,127,
475,01:28.4,5.66,4.42,112,
500,01:34.1,5.68,4.4,106,
Av,,4.71,5.41,136,
