Race,,Dist,1000,Time,197.86
Split,Time,Secs,Vel,SR,
25,6.17,6.17,4.05,138.3,
50,10.14,3.98,6.29,157.07,
75,14.01,3.87,6.46,155.17,
100,17.93,3.92,6.38,149.07,
125,22.02,4.09,6.12,140.26,
150,26.29,4.27,5.85,135.59,
175,30.67,4.37,5.72,131.71,
200,35.14,4.47,5.59,128.57,
225,39.63,4.49,5.56,125.65,
250,44.27,4.63,5.4,123.71,
275,48.97,4.71,5.31,122.45,
300,53.71,4.74,5.27,117.36,
325,58.51,4.8,5.21,113.48,
350,63.34,4.83,5.18,112.41,
375,68.25,4.91,5.1,110.88,
400,73.25,5,5,109.84,
425,78.22,4.97,5.03,109.59,
450,83.23,5.02,4.98,108.6,
475,88.26,5.03,4.97,108.6,
500,93.32,5.06,4.94,108.35,
525,98.37,5.06,4.94,107.62,
550,103.48,5.1,4.9,107.62,
575,108.63,5.15,4.85,108.87,
600,113.72,5.08,4.92,108.6,
625,118.87,5.15,4.85,108.84,
650,124,5.13,4.87,109.98,
675,129.06,5.07,4.94,111.89,
700,134.19,5.13,4.87,111.34,
725,139.39,5.19,4.81,111.11,
750,144.6,5.21,4.8,110.88,
775,149.89,5.29,4.73,108.84,
800,155.16,5.27,4.74,108.65,
825,160.46,5.3,4.72,108,
850,165.72,5.27,4.74,108.35,
875,171.06,5.33,4.69,108.43,
900,176.33,5.27,4.74,107.87,
925,181.7,5.37,4.66,106.3,
950,187.07,5.38,4.65,106.43,
975,192.43,5.36,4.67,107.57,
1000,197.86,5.43,4.61,103.23,
Av,,4.95,5.1,116.93,
