Race,,Dist,500,Time,01:48.0
Split,Time,Secs,Vel,SR,
25,7.07,7.07,3.54,135.14,
50,11.92,4.85,5.15,140.43,
75,16.77,4.85,5.16,134.53,
100,21.76,4.99,5.01,129.81,
125,26.88,5.12,4.88,123.2,
150,32.04,5.16,4.85,118.94,
175,37.35,5.31,4.71,129.67,
200,42.68,5.34,4.68,114.89,
225,48.16,5.47,4.57,115.14,
250,53.64,5.49,4.56,114.07,
275,59.12,5.48,4.56,115.14,
300,01:04.6,5.49,4.56,116.05,
325,01:10.1,5.48,4.56,120.24,
350,01:15.6,5.49,4.55,118.58,
375,01:20.9,5.36,4.67,122.17,
400,01:26.4,5.42,4.62,124.29,
425,01:31.8,5.39,4.64,125.79,
450,01:37.1,5.35,4.67,126.85,
475,01:42.5,5.42,4.61,130.43,
500,01:48.0,5.5,4.55,124.74,
Av,,5.4,4.65,124,
