Race,,Dist,500,Time,126.78
Split,Time,Secs,Vel,SR,
25,7.84,7.84,3.19,128.39,
50,13.39,5.55,4.5,132,
75,18.81,5.42,4.61,124.76,
100,24.6,5.79,4.32,119.52,
125,30.38,5.78,4.32,114.94,
150,36.23,5.85,4.27,112.78,
175,42.37,6.14,4.07,112.63,
200,48.43,6.05,4.13,107.72,
225,54.63,6.2,4.03,107.53,
250,61.05,6.43,3.89,105.26,
275,67.54,6.48,3.86,106.01,
300,73.98,6.44,3.88,103.45,
325,80.52,6.55,3.82,103.45,
350,86.81,6.28,3.98,106.01,
375,93.47,6.67,3.75,102.92,
400,100.07,6.6,3.79,102.04,
425,106.75,6.67,3.75,101.69,
450,113.52,6.78,3.69,101.52,
475,120.16,6.64,3.77,103.94,
500,126.77,6.61,3.79,104.9,
Av,,6.34,3.97,110.07,
