Race,,Dist,1000,Time,211.64
Split,Time,Secs,Vel,SR,
25,6.44,6.44,3.88,125,
50,10.72,4.28,5.84,135,
75,15.03,4.31,5.8,129.38,
100,19.49,4.45,5.61,124.68,
125,24.12,4.63,5.4,117.36,
150,28.92,4.8,5.21,114.29,
175,33.85,4.94,5.06,111.37,
200,38.87,5.02,4.98,109.53,
225,43.97,5.09,4.91,107.62,
250,49.16,5.19,4.82,107.14,
275,54.41,5.26,4.76,105.96,
300,59.67,5.26,4.75,106.19,
325,64.9,5.23,4.78,104.25,
350,70.18,5.28,4.74,102.13,
375,75.51,5.34,4.69,102.35,
400,80.84,5.32,4.7,100.21,
425,86.05,5.21,4.8,103.45,
450,91.34,5.29,4.72,103.23,
475,96.63,5.29,4.73,101.91,
500,101.97,5.34,4.68,102.35,
525,107.36,5.4,4.63,104.12,
550,112.67,5.3,4.71,103,
575,117.99,5.32,4.7,101.91,
600,123.31,5.32,4.7,101.69,
625,128.5,5.19,4.82,100,
650,133.79,5.29,4.72,99.17,
675,139.17,5.38,4.65,99.79,
700,144.61,5.44,4.6,99.17,
725,150.06,5.45,4.59,98.16,
750,155.56,5.49,4.55,97.96,
775,161.11,5.56,4.5,97.17,
800,166.73,5.61,4.45,96.97,
825,172.3,5.58,4.48,96.19,
850,177.92,5.61,4.45,94.59,
875,183.5,5.58,4.48,93.93,
900,189.13,5.63,4.44,94.86,
925,194.78,5.65,4.43,96.97,
950,200.35,5.56,4.49,95.24,
975,205.94,5.59,4.47,96.19,
1000,211.64,5.7,4.39,96,
Av,,5.29,4.75,104.41,
