Race,,Dist,500,Time,129.39
Split,Time,Secs,Vel,SR,
25,7.97,7.97,3.14,114.94,
50,13.79,5.82,4.29,122.91,
75,19.74,5.95,4.2,118.34,
100,25.79,6.05,4.13,113.6,
125,31.99,6.2,4.03,106.76,
150,38.27,6.28,3.98,105.63,
175,44.43,6.16,4.06,106.38,
200,50.73,6.3,3.97,103.99,
225,57.13,6.4,3.91,103.99,
250,63.74,6.6,3.79,101.52,
275,70.44,6.7,3.73,101.52,
300,76.92,6.48,3.86,100.84,
325,83.48,6.56,3.81,101.69,
350,89.85,6.37,3.92,104.43,
375,96.34,6.49,3.85,102.74,
400,102.91,6.57,3.8,105.63,
425,109.44,6.53,3.83,109.09,
450,116,6.56,3.81,108.73,
475,122.54,6.54,3.82,107.72,
500,129.36,6.82,3.69,105.42,
Av,,6.47,3.88,107.29,
