Race,,Dist,500,Time,125.32
Split,Time,Secs,Vel,SR,
25,7.83,7.83,3.19,121.95,
50,13.71,5.88,4.25,124.53,
75,19.48,5.78,4.33,122.45,
100,25.4,5.92,4.22,119.78,
125,31.24,5.83,4.29,114.07,
150,37.28,6.05,4.13,111.94,
175,43.49,6.21,4.03,109.45,
200,49.52,6.04,4.14,109.31,
225,55.6,6.07,4.12,107.53,
250,61.89,6.29,3.98,107.67,
275,68.29,6.4,3.91,104.9,
300,74.56,6.28,3.98,106.01,
325,80.98,6.41,3.9,105.63,
350,87.3,6.32,3.96,109.45,
375,93.43,6.14,4.07,109.89,
400,99.63,6.19,4.04,112.82,
425,105.87,6.24,4.01,110.09,
450,112.35,6.48,3.86,110.92,
475,118.89,6.54,3.82,110.18,
500,125.32,6.43,3.89,106.76,
Av,,6.27,4.01,111.77,
