Race,,Dist,500m,Time,01:24.4
Split,Time,Secs,Vel,SR,
25,6.30,6.30,3.97,135,
50,10.18,3.89,6.43,150,
75,13.90,3.71,6.73,148,
100,17.63,3.73,6.7,144,
125,21.42,3.79,6.59,140,
150,25.30,3.88,6.45,137,
175,29.31,4.01,6.23,131,
200,33.37,4.06,6.16,130,
225,37.48,4.11,6.08,130,
250,41.67,4.19,5.97,128,
275,45.89,4.23,5.92,128,
300,50.09,4.20,5.96,129,
325,54.17,4.08,6.13,136,
350,58.26,4.09,6.11,136,
375,01:02.4,4.12,6.06,135,
400,01:06.6,4.19,5.97,133,
425,01:10.8,4.27,5.86,130,
450,01:15.3,4.42,5.66,129,
475,01:19.8,4.52,5.54,124,
500,01:24.4,4.61,5.43,117,
Av,,4.22,6,134,
