Race,,Dist,500,Time,01:26.4
Split,Time,Secs,Vel,SR,
25,6.19,6.19,4.04,124.57,
50,10.05,3.85,6.49,153.85,
75,13.76,3.72,6.72,152.38,
100,17.54,3.78,6.62,146.34,
125,21.44,3.9,6.41,140.63,
150,25.44,4,6.26,135.59,
175,29.51,4.07,6.14,131.87,
200,33.74,4.23,5.91,128.69,
225,38.05,4.31,5.8,125.98,
250,42.38,4.33,5.77,124.03,
275,46.74,4.36,5.73,126.98,
300,50.94,4.2,5.95,133.7,
325,55.16,4.22,5.93,132.96,
350,59.44,4.28,5.85,129.81,
375,01:03.7,4.31,5.8,129.03,
400,01:08.2,4.42,5.66,125.33,
425,01:12.6,4.45,5.62,124.03,
450,01:17.1,4.52,5.54,124.42,
475,01:21.7,4.61,5.42,124.03,
500,01:26.4,4.65,5.38,121.35,
Av,,4.32,5.85,131.78,
