Race,,Dist,500m,Time,01:42.5
Split,Time,Secs,Vel,SR,
25,5.89,5.89,4.25,139,
50,10.17,4.28,5.84,140,
75,14.60,4.44,5.64,126,
100,19.24,4.64,5.39,120,
125,23.98,4.74,5.27,115,
150,28.84,4.86,5.15,114,
175,33.78,4.94,5.06,111,
200,38.80,5.02,4.98,111,
225,43.87,5.07,4.93,110,
250,49.03,5.16,4.84,110,
275,54.21,5.18,4.82,109,
300,59.41,5.20,4.81,111,
325,01:04.6,5.21,4.79,116,
350,01:09.8,5.16,4.85,118,
375,01:15.0,5.17,4.83,120,
400,01:20.2,5.23,4.78,117,
425,01:25.5,5.33,4.69,115,
450,01:31.0,5.44,4.59,114,
475,01:36.6,5.59,4.47,113,
500,01:42.4,5.89,4.25,108,
Av,,5.12,4.91,117,
