Race,,Dist,500m,Time,01:46.1
Split,Time,Secs,Vel,SR,
25,6.58,6.58,3.8,135.27,
50,11.22,4.64,5.39,141.84,
75,15.82,4.6,5.44,136.67,
100,20.5,4.68,5.34,130.43,
125,25.38,4.88,5.13,129.87,
150,30.24,4.86,5.14,129.19,
175,35.33,5.09,4.91,126.32,
200,40.44,5.1,4.9,123.57,
225,45.59,5.15,4.85,124.74,
250,50.85,5.26,4.75,121.95,
275,56.22,5.36,4.66,122.45,
300,01:01.6,5.42,4.62,121.95,
325,01:06.9,5.29,4.72,119.21,
350,01:12.3,5.41,4.62,120.97,
375,01:17.8,5.49,4.55,119.76,
400,01:23.4,5.54,4.51,118.11,
425,01:29.0,5.67,4.41,115.83,
450,01:34.7,5.68,4.41,115.61,
475,01:40.4,5.72,4.37,114.5,
500,01:46.1,5.66,4.42,115.16,
Av,,5.3,4.75,124.17,
