Race,,Dist,500,Time,88.5
Split,Time,Secs,Vel,SR,
25,6.1,6.1,4.1,137.81,
50,10.02,3.92,6.39,152.97,
75,13.82,3.81,6.57,146.79,
100,17.9,4.08,6.13,140.26,
125,21.91,4.01,6.23,135.98,
150,25.91,4,6.26,133.33,
175,30.02,4.11,6.08,129.63,
200,34.4,4.38,5.71,130.43,
225,38.8,4.4,5.68,126.65,
250,43.18,4.38,5.71,124.35,
275,47.57,4.39,5.7,126.17,
300,52.09,4.52,5.53,125.33,
325,56.55,4.46,5.6,125,
350,60.89,4.34,5.77,125.33,
375,65.27,4.38,5.7,125.65,
400,69.76,4.48,5.58,125.58,
425,74.44,4.69,5.33,124.35,
450,79.1,4.65,5.37,121.9,
475,83.78,4.68,5.34,121.21,
500,88.5,4.72,5.3,120.54,
Av,,4.42,5.7,129.96,
