Race,,Dist,1000,Time,219.32
Split,Time,Secs,Vel,SR,
25,6.62,6.62,3.78,126.62,
50,11.05,4.43,5.64,129.73,
75,15.46,4.41,5.68,121.52,
100,19.72,4.27,5.86,112.6,
125,24.36,4.64,5.39,119.47,
150,29.12,4.76,5.26,118.23,
175,33.88,4.76,5.25,116.22,
200,38.79,4.91,5.1,113.68,
225,43.89,5.1,4.9,114.29,
250,48.69,4.81,5.2,107.62,
275,53.84,5.15,4.86,112.73,
300,59.01,5.16,4.84,111.63,
325,64.36,5.36,4.67,109.76,
350,69.76,5.39,4.64,108.87,
375,74.91,5.16,4.85,105.96,
400,80.43,5.52,4.53,103.67,
425,86.07,5.64,4.43,104.25,
450,91.73,5.66,4.42,104.05,
475,97.36,5.63,4.44,103.85,
500,102.96,5.6,4.46,104.58,
525,108.24,5.28,4.73,98.56,
550,113.89,5.65,4.43,103.25,
575,119.48,5.59,4.47,102.78,
600,125.19,5.71,4.38,101.69,
625,131.01,5.83,4.29,98.9,
650,136.72,5.71,4.38,98.36,
675,142.4,5.68,4.4,100.56,
700,148.17,5.76,4.34,99.17,
725,153.96,5.8,4.31,100.19,
750,159.63,5.66,4.41,100.42,
775,165.59,5.96,4.19,97.83,
800,171.45,5.86,4.27,98.9,
825,177.46,6.01,4.16,98.13,
850,183.23,5.77,4.33,97.83,
875,189.12,5.88,4.25,97.76,
900,195.06,5.94,4.21,97.83,
925,200.99,5.94,4.21,95.62,
950,207.29,6.3,3.97,94.24,
975,213.33,6.04,4.14,97.65,
1000,219.33,6,4.17,100,
Av,,5.48,4.61,105.72,
