Race,,Dist,1000,Time,222.37
Split,Time,Secs,Vel,SR,
25,6.67,6.67,3.75,127.85,
50,11.2,4.53,5.51,128.34,
75,15.8,4.6,5.43,122.45,
100,20.51,4.71,5.31,120.6,
125,25.42,4.91,5.09,117.14,
150,30.39,4.97,5.03,114.56,
175,35.5,5.11,4.89,112.03,
200,40.68,5.17,4.83,111.37,
225,45.96,5.28,4.73,111.11,
250,51.37,5.41,4.62,107.78,
275,56.82,5.45,4.58,108.43,
300,62.29,5.47,4.57,107.57,
325,67.77,5.47,4.57,106.9,
350,73.27,5.5,4.55,105.47,
375,78.79,5.52,4.53,104.65,
400,84.46,5.66,4.41,102.56,
425,90.3,5.84,4.28,102.47,
450,96.22,5.92,4.22,102.27,
475,101.91,5.69,4.39,102.08,
500,107.52,5.61,4.46,100.93,
525,113.57,6.05,4.13,99.82,
550,119.43,5.86,4.27,101.69,
575,124.95,5.52,4.53,102.56,
600,130.53,5.58,4.48,104.65,
625,136.16,5.63,4.44,101.69,
650,141.78,5.62,4.45,103.05,
675,147.49,5.71,4.38,101.69,
700,153.58,6.09,4.11,100.19,
725,159.47,5.9,4.24,100.75,
750,165.15,5.68,4.41,101.27,
775,170.84,5.69,4.39,101.5,
800,176.74,5.9,4.24,100.75,
825,182.55,5.81,4.31,101.5,
850,188.49,5.94,4.21,100.75,
875,194.54,6.05,4.13,100,
900,200.19,5.65,4.42,100,
925,205.78,5.59,4.47,101.12,
950,211.25,5.46,4.58,101.05,
975,216.75,5.51,4.54,102.13,
1000,222.37,5.62,4.45,103.45,
Av,,5.56,4.52,106.16,
