Race,,Dist,1000,Time,04:02.3
Split,Time,Secs,Vel,SR,
25,7.2,7.2,3.47,117.82,
50,12.15,4.96,5.04,119.73,
75,17.19,5.04,4.96,112.03,
100,22.43,5.23,4.78,108.35,
125,27.82,5.39,4.64,105.68,
150,33.32,5.5,4.54,108.22,
175,39.19,5.87,4.26,104.85,
200,45.02,5.83,4.29,100.56,
225,50.81,5.78,4.32,101.91,
250,56.68,5.88,4.25,99.45,
275,01:02.6,5.97,4.19,98.54,
300,01:08.5,5.82,4.3,100.37,
325,01:14.4,5.96,4.2,96.39,
350,01:20.4,5.96,4.2,100.37,
375,01:26.6,6.2,4.03,97.12,
400,01:32.7,6.15,4.07,97.12,
425,01:38.8,6.01,4.16,100.37,
450,01:45.0,6.2,4.03,96.43,
475,01:51.1,6.13,4.08,96.6,
500,01:57.3,6.21,4.03,93.59,
525,02:03.5,6.22,4.02,94.57,
550,02:09.8,6.29,3.98,93.2,
575,02:16.0,6.23,4.01,93.59,
600,02:22.1,6.09,4.11,94.08,
625,02:28.1,6.02,4.16,95.81,
650,02:34.2,6.08,4.11,94.74,
675,02:40.2,6.03,4.15,96.77,
700,02:46.5,6.23,4.01,94.49,
725,02:52.5,6.07,4.12,95.58,
750,02:58.6,6.07,4.12,94.41,
775,03:04.7,6.14,4.07,94.3,
800,03:11.0,6.25,4,93.26,
825,03:17.2,6.25,4,91.84,
850,03:23.7,6.45,3.87,93.75,
875,03:30.1,6.42,3.89,91.43,
900,03:36.4,6.26,3.99,89.26,
925,03:42.8,6.47,3.87,91.43,
950,03:49.4,6.59,3.8,89.7,
975,03:55.9,6.5,3.85,89.55,
1000,04:02.3,6.37,3.93,91.99,
Av,,6.06,4.15,97.98,
