Race,,Dist,500,Time,02:04.8
Split,Time,Secs,Vel,SR,
25,7.45,7.45,3.36,114.04,
50,13.02,5.57,4.49,114.07,
75,18.64,5.62,4.45,112.99,
100,24.61,5.98,4.18,106.93,
125,30.66,6.04,4.14,105.26,
150,36.67,6.02,4.15,101.89,
175,42.75,6.07,4.12,106.76,
200,48.76,6.01,4.16,108.7,
225,55.05,6.29,3.97,103.99,
250,01:01.3,6.25,4,104.05,
275,01:07.4,6.14,4.07,102.74,
300,01:13.9,6.47,3.86,101.01,
325,01:20.4,6.51,3.84,99.17,
350,01:26.7,6.28,3.98,104.25,
375,01:33.2,6.51,3.84,99.83,
400,01:39.5,6.33,3.95,105.45,
425,01:45.8,6.25,4,105.63,
450,01:52.1,6.29,3.97,102.04,
475,01:58.4,6.38,3.92,99.5,
500,02:04.8,6.39,3.92,98.54,
Av,,6.24,4.02,104.84,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
