Race,,Dist,500,Time,02:04.5
Split,Time,Secs,Vel,SR,
25,7.36,7.36,3.4,115.04,
50,12.81,5.45,4.58,114.29,
75,18.25,5.44,4.59,111.34,
100,23.9,5.65,4.42,110.2,
125,29.73,5.82,4.29,103.45,
150,35.63,5.9,4.24,104.71,
175,41.74,6.11,4.09,103.05,
200,48.19,6.45,3.88,99.67,
225,54.44,6.25,4,103.09,
250,01:00.9,6.5,3.85,102.74,
275,01:07.4,6.44,3.88,102.04,
300,01:13.9,6.52,3.84,100,
325,01:20.4,6.5,3.84,103.45,
350,01:26.8,6.37,3.92,105.08,
375,01:33.0,6.19,4.04,106.95,
400,01:39.3,6.35,3.93,103.81,
425,01:45.4,6.05,4.13,108.11,
450,01:51.6,6.22,4.02,105.08,
475,01:58.0,6.44,3.88,102.39,
500,02:04.5,6.51,3.84,101.87,
Av,,6.23,4.03,105.32,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
