Race,,Dist,500m,Time,01:49.6
Split,Time,Secs,Vel,SR,
25,6.95,6.95,3.59,120,
50,11.77,4.82,5.19,125,
75,16.60,4.82,5.18,118,
100,21.46,4.87,5.14,117,
125,26.57,5.11,4.89,115,
150,31.84,5.27,4.75,109,
175,37.16,5.32,4.7,111,
200,42.61,5.44,4.59,110,
225,47.96,5.36,4.67,107,
250,53.28,5.32,4.7,110,
275,58.68,5.40,4.63,109,
300,01:04.2,5.56,4.5,106,
325,01:09.8,5.56,4.49,107,
350,01:15.4,5.57,4.48,107,
375,01:20.9,5.52,4.53,108,
400,01:26.4,5.50,4.54,107,
425,01:32.0,5.57,4.49,109,
450,01:37.7,5.78,4.33,106,
475,01:43.6,5.89,4.25,104,
500,01:49.6,5.94,4.22,104,
Av,,5.48,4.59,110,
