Race,,Dist,500,Time,107.71
Split,Time,Secs,Vel,SR,
25,7.08,7.08,3.53,117.65,
50,11.83,4.75,5.26,129.5,
75,16.61,4.78,5.23,123.85,
100,21.5,4.89,5.11,120.27,
125,26.46,4.96,5.04,118.68,
150,31.48,5.02,4.98,117.36,
175,36.65,5.17,4.84,108.65,
200,41.99,5.34,4.68,108.35,
225,47.41,5.42,4.61,107.14,
250,52.84,5.43,4.6,108,
275,58.31,5.47,4.57,109.09,
300,63.79,5.48,4.56,109.09,
325,69.2,5.41,4.62,112.5,
350,74.62,5.42,4.61,111.34,
375,79.98,5.35,4.67,111.34,
400,85.38,5.41,4.62,109.76,
425,90.93,5.55,4.5,109.09,
450,96.49,5.55,4.5,108.43,
475,102.02,5.53,4.52,105.73,
500,107.7,5.69,4.4,104.25,
Av,,5.39,4.67,112.5,
