Race,,Dist,1000m,Time,04:02.8
Split,Time,Secs,Vel,SR,
25,7.15,7.15,3.5,115.21,
50,12.29,5.14,4.86,111.34,
75,17.49,5.2,4.81,106.9,
100,22.89,5.4,4.63,101.91,
125,28.44,5.55,4.5,100.63,
150,33.92,5.48,4.56,102.86,
175,39.63,5.7,4.38,100.63,
200,45.55,5.93,4.22,99.26,
225,51.51,5.96,4.2,97.47,
250,57.56,6.05,4.13,96,
275,01:03.5,5.98,4.18,95.24,
300,01:09.5,6,4.17,94.86,
325,01:15.6,6.05,4.13,93.75,
350,01:21.8,6.19,4.04,93.02,
375,01:28.0,6.21,4.02,92.62,
400,01:34.4,6.36,3.93,90.76,
425,01:40.9,6.52,3.84,91.84,
450,01:47.3,6.41,3.9,91.78,
475,01:53.7,6.43,3.89,91.37,
500,02:00.1,6.37,3.93,89.85,
525,02:06.3,6.19,4.04,93.75,
550,02:12.5,6.19,4.04,91.68,
575,02:18.7,6.23,4.01,91.95,
600,02:24.8,6.05,4.13,92.78,
625,02:30.8,6.03,4.14,92.49,
650,02:37.0,6.2,4.03,90.06,
675,02:43.3,6.26,4,90,
700,02:49.5,6.26,4,91.08,
725,02:55.7,6.25,4,89.55,
750,03:02.1,6.33,3.95,90.06,
775,03:08.4,6.34,3.94,89.55,
800,03:14.4,5.96,4.2,96.19,
825,03:20.3,5.97,4.19,95.91,
850,03:26.2,5.87,4.26,96.77,
875,03:32.1,5.93,4.21,95.58,
900,03:38.2,6.01,4.16,94.12,
925,03:44.3,6.17,4.05,91.68,
950,03:50.5,6.12,4.08,92.84,
975,03:56.6,6.15,4.07,89.05,
1000,04:02.8,6.2,4.03,90.23,
Av,,6.07,4.13,95.07,
