Race,,Dist,500,Time,01:38.2
Split,Time,Secs,Vel,SR,
25,6.56,6.56,3.81,123.61,
50,10.98,4.42,5.66,137.4,
75,15.38,4.4,5.68,130.08,
100,19.84,4.46,5.6,124.71,
125,24.44,4.6,5.44,121.21,
150,29.22,4.78,5.23,120,
175,34.02,4.8,5.21,117.65,
200,38.89,4.87,5.13,117.36,
225,43.75,4.86,5.14,119.73,
250,48.56,4.81,5.2,118.94,
275,53.42,4.85,5.15,117.65,
300,58.29,4.87,5.13,118.16,
325,01:03.2,4.88,5.12,119.73,
350,01:08.0,4.84,5.16,121.52,
375,01:12.9,4.86,5.14,123.01,
400,01:17.8,4.91,5.09,123.01,
425,01:22.7,4.92,5.08,122.73,
450,01:27.7,5.04,4.96,121.62,
475,01:32.9,5.17,4.84,118.58,
500,01:38.2,5.31,4.71,114.16,
Av,,4.91,5.12,121.54,
