Race,,Dist,1000,Time,03:12.1
Split,Time,Secs,Vel,SR,
25,6.16,6.16,4.06,129.57,
50,10.21,4.05,6.18,142.86,
75,14.24,4.03,6.21,137.93,
100,18.31,4.07,6.14,135.34,
125,22.46,4.15,6.03,131.15,
150,26.71,4.25,5.88,128.69,
175,31.05,4.34,5.76,125.65,
200,35.47,4.42,5.66,125,
225,39.91,4.44,5.63,124.35,
250,44.49,4.58,5.46,123.01,
275,49.06,4.57,5.47,122.76,
300,53.61,4.55,5.49,120.6,
325,58.24,4.63,5.4,118.81,
350,01:02.9,4.69,5.33,117.9,
375,01:07.7,4.79,5.22,116.5,
400,01:12.6,4.84,5.17,116.79,
425,01:17.4,4.82,5.19,115.88,
450,01:22.2,4.84,5.16,115.38,
475,01:27.1,4.88,5.12,115.66,
500,01:32.0,4.89,5.11,116.13,
525,01:36.9,4.96,5.04,115.66,
550,01:41.9,4.99,5.01,114.65,
575,01:46.9,4.93,5.08,114.56,
600,01:51.8,4.99,5.01,115.38,
625,01:56.9,5.02,4.98,114.83,
650,02:01.8,4.96,5.04,114.89,
675,02:06.9,5.03,4.97,113.74,
700,02:11.9,5.04,4.96,114.65,
725,02:16.9,5,5,115.63,
750,02:21.9,5,5,115.66,
775,02:26.8,4.87,5.13,117.9,
800,02:31.6,4.86,5.15,118.68,
825,02:36.5,4.86,5.14,120.6,
850,02:41.4,4.85,5.15,120.81,
875,02:46.3,4.9,5.1,120.27,
900,02:51.3,5.02,4.98,120,
925,02:56.3,5.07,4.93,119.21,
950,03:01.5,5.13,4.87,119.47,
975,03:06.7,5.25,4.76,116.88,
1000,03:12.1,5.4,4.63,115.14,
Av,,4.8,5.24,120.46,
