Race,,Dist,500,Time,01:23.5
Split,Time,Secs,Vel,SR,
25,6.2,6.2,4.03,126.09,
50,10.04,3.84,6.52,147.54,
75,13.73,3.69,6.77,145.02,
100,17.44,3.72,6.73,142.86,
125,21.23,3.78,6.61,139.94,
150,25.1,3.87,6.46,139.07,
175,29.06,3.96,6.31,136.75,
200,33.08,4.02,6.22,135,
225,37.15,4.07,6.14,133.7,
250,41.26,4.11,6.08,132.6,
275,45.45,4.19,5.97,132.96,
300,49.62,4.17,6,131.87,
325,53.74,4.12,6.07,134.83,
350,57.87,4.13,6.06,134.66,
375,01:02.0,4.14,6.04,132.23,
400,01:06.2,4.22,5.92,132.23,
425,01:10.5,4.29,5.83,132.68,
450,01:14.8,4.26,5.87,130.79,
475,01:19.1,4.34,5.76,130.08,
500,01:23.5,4.39,5.71,128.57,
Av,,4.18,6.05,134.97,
