Race,,Dist,1000,Time,03:29.2
Split,Time,Secs,Vel,SR,
25,6.63,6.63,3.77,123.03,
50,11,4.37,5.73,134.45,
75,15.39,4.39,5.7,126.98,
100,19.86,4.47,5.59,125.87,
125,24.47,4.61,5.42,120.3,
150,29.23,4.75,5.26,120,
175,34.04,4.81,5.2,117.39,
200,38.97,4.94,5.07,114.29,
225,43.93,4.96,5.04,112.5,
250,48.99,5.05,4.95,111.37,
275,54.08,5.09,4.91,110.6,
300,59.24,5.16,4.85,109.76,
325,01:04.4,5.16,4.85,105.03,
350,01:09.7,5.32,4.7,104.58,
375,01:15.1,5.36,4.66,104.05,
400,01:20.4,5.37,4.65,103.23,
425,01:25.9,5.42,4.62,102.13,
450,01:31.3,5.4,4.63,102.56,
475,01:36.7,5.46,4.58,103.85,
500,01:42.2,5.44,4.59,103.45,
525,01:47.7,5.54,4.52,101.31,
550,01:53.2,5.45,4.59,101.27,
575,01:58.6,5.43,4.6,101.27,
600,02:04.1,5.46,4.58,100.84,
625,02:09.5,5.42,4.62,99.59,
650,02:15.0,5.5,4.54,101.27,
675,02:20.5,5.5,4.55,101.69,
700,02:25.9,5.45,4.58,101.48,
725,02:31.3,5.4,4.63,102.78,
750,02:36.6,5.32,4.7,103.9,
775,02:41.9,5.26,4.76,105.06,
800,02:47.1,5.23,4.78,106.67,
825,02:52.3,5.18,4.82,108.6,
850,02:57.5,5.16,4.84,109.53,
875,03:02.6,5.16,4.85,111.63,
900,03:07.8,5.19,4.81,111.57,
925,03:13.0,5.21,4.79,113.45,
950,03:18.3,5.3,4.72,112.5,
975,03:23.7,5.32,4.7,109.34,
1000,03:29.2,5.52,4.53,107.36,
Av,,5.23,4.81,109.16,
