Race,,Dist,500,Time,01:37.1
Split,Time,Secs,Vel,SR,
25,6.43,6.43,3.89,119.8,
50,10.76,4.33,5.77,133,
75,15.08,4.31,5.79,129.73,
100,19.25,4.17,6,133.7,
125,23.73,4.49,5.57,121.62,
150,28.32,4.58,5.46,120.3,
175,32.92,4.6,5.43,118.52,
200,37.56,4.65,5.38,119.4,
225,42.25,4.69,5.33,117.36,
250,46.76,4.5,5.55,111.37,
275,51.55,4.79,5.22,117.36,
300,56.32,4.78,5.23,119.47,
325,01:01.1,4.82,5.19,118.23,
350,01:06.0,4.87,5.13,116.79,
375,01:10.9,4.9,5.11,118.68,
400,01:15.9,5,5,116.13,
425,01:20.9,5.02,4.98,114.56,
450,01:26.0,5.11,4.9,114.65,
475,01:31.3,5.25,4.76,109.76,
500,01:37.1,5.82,4.3,97.56,
Av,,4.86,5.2,118.4,
