Race,,Dist,500,Time,98.91
Split,Time,Secs,Vel,SR,
25,7.08,7.08,3.53,121.5,
50,11.51,4.42,5.65,139.53,
75,15.87,4.36,5.73,137.4,
100,20.32,4.44,5.63,132.68,
125,24.69,4.37,5.71,127.32,
150,29.28,4.59,5.44,126.32,
175,33.96,4.68,5.34,125.29,
200,38.72,4.76,5.26,123.85,
225,43.47,4.76,5.26,123.01,
250,48.24,4.77,5.24,121.83,
275,53.05,4.81,5.2,120.27,
300,57.92,4.87,5.14,121.08,
325,62.89,4.97,5.03,120.27,
350,67.87,4.98,5.02,121.35,
375,72.86,4.99,5.01,120.81,
400,77.95,5.09,4.91,120.27,
425,83.09,5.14,4.86,120.27,
450,88.23,5.13,4.87,119.76,
475,93.51,5.28,4.73,119.73,
500,98.91,5.4,4.63,119.28,
Av,,4.95,5.11,124.09,
